Address,Location,Price,Beds,Baths,SqFt,Price per sqft,HOA,Year Built,Property Type
4945 N Keeler Ave,North Mayfair,649900.0,4,2.5,2833.0,229.0,,1924,Single Family Home
850 N Lake Shore Dr #810,CHI - Near North Side,599000.0,2,2,1256.0,477.0,844.0,1927,Condo / Apartment
600 N Lake Shore Dr #3705,CHI - Near North Side,1950000.0,3,3.5,2540.0,768.0,1966.0,2009,Condo / Apartment
4924 W Congress Pkwy,CHI - Austin,115000.0,4,2,1158.0,99.0,,1895,Single Family Home
2622 120th St,Blue Island,249900.0,3,1.5,1090.0,229.0,,1956,Single Family Home
3537 N Olcott Ave,CHI - Dunning,354900.0,4,1.5,1200.0,296.0,,1928,Single Family Home
5212 S Kildare Ave,CHI - Archer Heights,274900.0,2,2,798.0,344.0,,1918,Single Family Home
401 N Wabash Ave Unit 60F,Trump Tower Chicago,1495000.0,2,2.5,1837.0,814.0,2112.0,2008,Condo / Apartment
6446 W 64th St,CHI - Clearing,389900.0,3,2.5,2532.0,154.0,,1983,Single Family Home
2853 N Rockwell St,CHI - Avondale,1325000.0,5,4,4696.0,282.0,,2008,Single Family Home
7018 N Ashland Blvd Unit GN,CHI - Rogers Park,290000.0,2,2,1217.0,238.0,350.0,2004,Condo / Apartment
11036 S Keeler Ave,Oak Lawn,344900.0,3,2,1300.0,265.0,,1954,Single Family Home
7801 S Komensky Ave,CHI - Ashburn,325000.0,3,2,840.0,387.0,,1955,Single Family Home
850 N Lake Shore Dr #1606,CHI - Near North Side,497000.0,1,1,1031.0,482.0,680.0,1927,Condo / Apartment
64 E Elm St #3,CHI - Near North Side,2290000.0,3,3.5,3657.0,626.0,1041.0,1911,Condo / Apartment
3180 N Lake Shore Dr Unit 3D,CHI - Lake View,330000.0,2,2,1500.0,220.0,1355.0,1956,Condo / Apartment
11947 S Eggleston Ave,CHI - West Pullman,179900.0,4,2,1972.0,91.0,,1893,Single Family Home
850 N Lake Shore Dr #211,CHI - Near North Side,422000.0,1,1,1025.0,412.0,647.0,1927,Condo / Apartment
3808 N Oconto Ave,CHI - Dunning,265900.0,2,1,885.0,300.0,,1926,Single Family Home
7642 S Eberhart Ave,CHI - Greater Grand Crossing,295000.0,5,3,2686.0,110.0,,1915,Single Family Home
850 N Lake Shore Dr #1608,CHI - Near North Side,508000.0,1,1,1040.0,488.0,689.0,1927,Condo / Apartment
708 W Barry Ave Unit 1F,CHI - Lake View,525000.0,2,2,1200.0,438.0,327.0,2005,Condo / Apartment
800 N Michigan Ave #3203,Park Tower,1075000.0,2,2.5,2000.0,538.0,1532.0,2000,Condo / Apartment
400 W Ontario St #1603,CHI - Near North Side,579900.0,2,2.5,1817.0,319.0,1202.0,2000,Condo / Apartment
341 E 117th St,CHI - West Pullman,127000.0,3,1.5,998.0,127.0,,1903,Single Family Home
1530 S State St Unit 14S,Dearborn Tower,475000.0,2,2,1547.0,307.0,939.0,2000,Condo / Apartment
5040 N Marine Dr Unit D3,CHI - Uptown,131900.0,1,1,800.0,165.0,717.0,1939,Condo / Apartment
4041 N Elston Ave #2,CHI - Irving Park,499000.0,3,2,1850.0,270.0,165.0,2020,Condo / Apartment
5352 S Justine St,CHI - New City,165000.0,6,2,924.0,179.0,,1888,Single Family Home
70 W Burton Pl #1801,Faulkner House,255000.0,1,1,745.0,342.0,952.0,1966,Condo / Apartment
4755 S Lotus Ave,CHI - Garfield Ridge,269873.0,3,1,1455.0,185.0,,1950,Single Family Home
236 E 92nd St,CHI - Roseland,120000.0,3,2,1336.0,90.0,,1942,Single Family Home
2024 S Wabash Ave #607,Ravina Lofts,230000.0,1,1,738.0,312.0,405.0,1914,Condo / Apartment
2713 W Warren Blvd,CHI - East Garfield Park,289000.0,4,2,2704.0,107.0,,1885,Single Family Home
7343 W Belmont Ave,CHI - Dunning,419900.0,3,1.5,1250.0,336.0,,1960,Single Family Home
602 W 103rd St,CHI - Washington Heights,237900.0,4,2,1377.0,173.0,,1973,Single Family Home
8107 S Princeton Ave,CHI - Chatham,284900.0,4,1.5,2000.0,142.0,,1928,Single Family Home
4948 N Troy St Unit 2S,CHI - Albany Park,275000.0,3,2,1150.0,239.0,266.0,1911,Condo / Apartment
553 W Eugenie St,CHI - Lincoln Park,899900.0,3,3,2522.0,357.0,665.0,1982,Condo / Apartment
9831 S Karlov Ave,Oak Lawn,264000.0,3,2.5,1780.0,148.0,415.0,1968,Condo / Apartment
2750 S Springfield Ave,CHI - South Lawndale,214900.0,3,1,1036.0,207.0,,1905,Single Family Home
680 N Lake Shore Dr #2300,CHI - Near North Side,999000.0,1,1.5,2575.0,388.0,1542.0,1923,Condo / Apartment
161 E Chicago Ave Unit 53H,Olympia Centre,725000.0,1,1.5,1456.0,498.0,1387.0,1985,Condo / Apartment
230 W Division St #501,CHI - Near North Side,615000.0,2,2,1537.0,400.0,1000.0,2004,Condo / Apartment
7146 S Maplewood Ave,CHI - Chicago Lawn,279000.0,6,2,1600.0,174.0,,1926,Single Family Home
1716 E 54th St Unit I,CHI - Hyde Park,729000.0,4,2.5,2046.0,356.0,201.0,1998,Condo / Apartment
732 S Financial Pl #506,CHI - Loop,290000.0,1,1,1075.0,270.0,389.0,1908,Condo / Apartment
1300 N Lake Shore Dr Unit 18D,CHI - Near North Side,725000.0,3,3,2200.0,330.0,2531.0,1974,Condo / Apartment
